NM_CANDIDATO;NR_CANDIDATO;CD_CARGO;DS_CARGO;CD_GRAU_INSTRUCAO;DS_OCUPACAO;CD_OCUPACAO;CD_GENERO;sigla;ano
JOSE ALVANI LOPES;13;11;PREFEITO;6;OUTROS;999;2;AC;2000
CARLOS CESAR CORREIA DE MESSIAS;11;11;PREFEITO;6;MEMBROS DO PODER LEGISLATIVO: SENADOR, DEPUTADOS E VEREADOR;201;2;AC;2000
JORGE ALMEIDA DA SILVA;13;11;PREFEITO;4;MEMBROS DO PODER EXECUTIVO: PRESIDENTE, MINISTRO, GOVERNADOR, PREFEITO;203;2;AC;2000
SEBASTIÃO BOCALOM RODRIGUES;45;11;PREFEITO;8;PROFESSOR DE ENSINO DE PRIMEIRO E SEGUNDO GRAUS;143;2;AC;2000
JOSÉ ALTAMIR TAUMATURGO DE SÁ;13;11;PREFEITO;4;OUTROS;999;2;AC;2000
MANOEL DA SILVA ALMEIDA;27;11;PREFEITO;6;SERVIDOR PUBLICO ESTADUAL;297;2;AC;2004
FRANCISCO VAGNER DE SANTANA AMORIM;11;11;PREFEITO;4;OUTROS;999;2;AC;2004
ITAMAR PEREIRA DE SÁ;13;11;PREFEITO;6;BANCARIO E ECONOMIARIO;395;2;AC;2004
HILÁRIO DE HOLANDA MELO;13;11;PREFEITO;4;PRODUTOR AGROPECUARIO;234;2;AC;2004
LUIZ HELOSMAN DE FIGUEIREDO;22;11;PREFEITO;8;ODONTOLOGO;115;2;AC;2004
MANOEL BATISTA DE ARAÚJO;13;11;PREFEITO;6;PROFESSOR DE ENSINO DE PRIMEIRO E SEGUNDO GRAUS;143;2;AC;2004
VANDERLEY VIANA DE LIMA;15;11;PREFEITO;7;PROFESSOR DE ENSINO DE PRIMEIRO E SEGUNDO GRAUS;143;2;AC;2004
PAULO CESAR DA SILVA;13;11;PREFEITO;6;SENADOR, DEPUTADO E VEREADOR;201;2;AC;2004
JOSÉ ALTAMIR TAUMATURGO SÁ;13;11;PREFEITO;4;PECUARISTA;602;2;AC;2004
FRANCIMAR FERNANDES DE ALBUQUERQUE;13;11;PREFEITO;6;PROFESSOR DE ENSINO DE PRIMEIRO E SEGUNDO GRAUS;143;2;AC;2004
JOSE RONALDO PESSOA PEREIRA;40;11;PREFEITO;5;COMERCIANTE;169;2;AC;2004
ERISVANDO TORQUATO DO NASCIMENTO;45;11;PREFEITO;4;COMERCIANTE;169;2;AC;2004
MARIA ZILA FROTA BEZERRA DE OLIVEIRA;14;11;PREFEITO;8;PROFESSOR DE ENSINO SUPERIOR;142;4;AC;2004
CARLOS CELSO MEDEIROS RIBEIRO;23;11;PREFEITO;0;EMPRESARIO;257;2;AC;2004
NEUZARI CORREIA PINHEIRO;13;11;PREFEITO;6;PROFESSOR DE ENSINO DE PRIMEIRO E SEGUNDO GRAUS;143;2;AC;2004
JOSÉ RUY COELHO DE ALBUQUERQUE;23;11;PREFEITO;6;OUTROS;999;2;AC;2004
MICHEL MARQUES ABRAHÃO;13;11;PREFEITO;6;OUTROS;999;2;AC;2004
JOAIS DA SILVA DOS SANTOS;14;11;PREFEITO;6;SERVIDOR PUBLICO MUNICIPAL;298;2;AC;2004
ANA LEILA GALVÃO MAIA MOREIRA;13;11;PREFEITO;8;PROFESSOR DE ENSINO DE PRIMEIRO E SEGUNDO GRAUS;143;4;AC;2004
RAIMUNDO ANGELIM VASCONCELOS;13;11;PREFEITO;8;ECONOMISTA;121;2;AC;2004
NILSON ROBERTO AREAL DE ALMEIDA;22;11;PREFEITO;8;ECONOMISTA;121;2;AC;2004
SEBASTIÃO BOCALOM RODRIGUES;45;11;PREFEITO;8;PROFESSOR DE ENSINO DE PRIMEIRO E SEGUNDO GRAUS;143;2;AC;2004
NILSON ROBERTO AREAL DE ALMEIDA;22;11;PREFEITO;8;PREFEITO;275;2;AC;2008
PAULO CESAR DA SILVA;13;11;PREFEITO;6;PREFEITO;275;2;AC;2008
FRANCISCO ERNILSON DE FREITAS;13;11;PREFEITO;6;COMERCIANTE;169;2;AC;2008
JOSÉ BRASIL BARBOSA DA SILVA;13;11;PREFEITO;6;SERVIDOR PÚBLICO ESTADUAL;297;2;AC;2008
MANOEL DA SILVA ALMEIDA;11;11;PREFEITO;5;FISCAL;213;2;AC;2008
VAGNER JOSE SALES;15;11;PREFEITO;4;PECUARISTA;602;2;AC;2008
JOSÉ JUAREZ LEITÃO DOS SANTOS;13;11;PREFEITO;3;DEPUTADO;277;2;AC;2008
RANDSON OLIVEIRA ALMEIDA;15;11;PREFEITO;6;PILOTO DE AVIAÇÃO COMERCIAL, NAVEGADOR, MECÂNICO DE VÔO E ASSEMELHADOS;181;2;AC;2008
NEUZARI CORREIA PINHEIRO;13;11;PREFEITO;7;PREFEITO;275;2;AC;2008
RAIMUNDO ANGELIM VASCONCELOS;13;11;PREFEITO;8;PROFESSOR DE ENSINO SUPERIOR;142;2;AC;2008
JOÃO EDVALDO TELES DE LIMA;15;11;PREFEITO;3;OUTROS;999;2;AC;2008
MARIA ELIANE GADELHA CARIUS;13;11;PREFEITO;8;PROFESSOR DE ENSINO MÉDIO;266;4;AC;2008
CLEIDSON DE JESUS ROCHA;15;11;PREFEITO;8;PROFESSOR DE ENSINO SUPERIOR;142;2;AC;2008
JOSE RONALDO PESSOA PEREIRA;40;11;PREFEITO;4;PREFEITO;275;2;AC;2008
JOAIS DA SILVA DOS SANTOS;13;11;PREFEITO;8;PREFEITO;275;2;AC;2008
ERISVANDO TORQUATO DO NASCIMENTO;11;11;PREFEITO;4;OUTROS;999;2;AC;2008
FRANCISCO UBIRACY MACHADO DE VASCONCELOS;13;11;PREFEITO;8;AGRÔNOMO;103;2;AC;2008
JAMES PEREIRA DA SILVA;45;11;PREFEITO;6;OUTROS;999;2;AC;2008
VILSEU FERREIRA DA SILVA;11;11;PREFEITO;5;PREFEITO;275;2;AC;2008
JOSE MARIA RODRIGUES;13;11;PREFEITO;6;AGRICULTOR;601;2;AC;2008
HILARIO DE HOLANDA MELO;13;11;PREFEITO;6;PREFEITO;275;2;AC;2008
ANA LEILA GALVÄO MAIA MOREIRA;13;11;PREFEITO;8;SERVIDOR PÚBLICO ESTADUAL;297;4;AC;2008
HAMMERLY DA SILVA ALBUQUERQUE;13;11;PREFEITO;8;OUTROS;999;2;AC;2012
ALE ANUTE SILVA;25;11;PREFEITO;6;PRODUTOR AGROPECUÁRIO;234;2;AC;2012
EVERALDO GOMES PEREIRA DA SILVA;15;11;PREFEITO;6;VEREADOR;278;2;AC;2012
JOSE ESTEPHAN BARBARY FILHO;15;11;PREFEITO;3;COMERCIANTE;169;2;AC;2012
MARCUS ALEXANDRE MEDICI AGUIAR;13;11;PREFEITO;8;SERVIDOR PÚBLICO ESTADUAL;297;2;AC;2012
ANTONIO CARLOS FERREIRA PORTELA;45;11;PREFEITO;8;PROFESSOR DE ENSINO SUPERIOR;142;2;AC;2012
CLEIDISON DE JESUS ROCHA;15;11;PREFEITO;8;SERVIDOR PÚBLICO FEDERAL;296;2;AC;2012
MARCIO PEREIRA MIRANDA;45;11;PREFEITO;6;OUTROS;999;2;AC;2012
JOSÉ RAIMUNDO DE SOUZA DA SILVA;22;11;PREFEITO;6;VEREADOR;278;2;AC;2012
ALDEMIR DA SILVA LOPES;13;11;PREFEITO;6;OUTROS;999;2;AC;2012
FRANCISCO ERNILSON DE FREITAS;13;11;PREFEITO;6;ADMINISTRADOR;125;2;AC;2012
ANTONIO RAIMUNDO DE BRITO RAMOS;13;11;PREFEITO;8;SERVIDOR PÚBLICO ESTADUAL;297;2;AC;2012
VAGNER JOSE SALES;15;11;PREFEITO;4;PECUARISTA;602;2;AC;2012
OTAVIO GUIMARAES VARÊDA;65;11;PREFEITO;6;OUTROS;999;2;AC;2012
ANDRE LUIZ PEREIRA HASSEM;45;11;PREFEITO;8;ADVOGADO;131;2;AC;2012
RONEY DE OLIVEIRA FIRMINO;40;11;PREFEITO;8;PROFESSOR DE ENSINO SUPERIOR;142;2;AC;2012
ELSON DE LIMA FARIAS;65;11;PREFEITO;6;OUTROS;999;2;AC;2012
JAMES PEREIRA DA SILVA;45;11;PREFEITO;6;ADMINISTRADOR;125;2;AC;2012
RODRIGO DAMASCENO CATÃO;13;11;PREFEITO;8;MÉDICO;111;2;AC;2012
HUMBERTO GONÇALVES FILHO;45;11;PREFEITO;8;MÉDICO;111;2;AC;2012
RIVELINO DA SILVA MOTA;45;11;PREFEITO;5;OUTROS;999;2;AC;2012
JONAS DALES DA COSTA SILVA;25;11;PREFEITO;6;COMERCIANTE;169;2;AC;2012
ISAAC DA SILVA PIYÃKO;15;11;PREFEITO;8;PROFESSOR DE ENSINO FUNDAMENTAL;265;2;AC;2016
OSMAR SERAFIM DE ANDRADE;15;11;PREFEITO;6;EMPRESÁRIO;257;2;AC;2016
EDERALDO CAETANO DE SOUSA;40;11;PREFEITO;5;AGRICULTOR;601;2;AC;2016
JOSÉ ALTANÍZIO TAUMATURGO SÁ;15;11;PREFEITO;5;EMPRESÁRIO;257;2;AC;2016
FERNANDA DE SOUZA HASSEM CESAR;13;11;PREFEITO;8;VEREADOR;278;4;AC;2016
ILDERLEI SOUZA RODRIGUES CORDEIRO;15;11;PREFEITO;7;EMPRESÁRIO;257;2;AC;2016
ROMUALDO DE SOUZA ARAUJO;65;11;PREFEITO;6;OUTROS;999;2;AC;2016
MARILETE VITORINO DE SIQUEIRA;55;11;PREFEITO;8;ADVOGADO;131;4;AC;2016
ANTONIO BARBOSA DE SOUSA;45;11;PREFEITO;8;SERVIDOR PÚBLICO FEDERAL;296;2;AC;2016
KIEFER ROBERTO CAVALCANTE LIMA;11;11;PREFEITO;8;EMPRESÁRIO;257;2;AC;2016
BENEDITO CAVALCANTE DAMASCENO;90;11;PREFEITO;6;OUTROS;999;2;AC;2016
JOSÉ AUGUSTO GOMES DA CUNHA;11;11;PREFEITO;4;SERVIDOR PÚBLICO ESTADUAL;297;2;AC;2016
JOÃO SEBASTIÃO FLORES DA SILVA;40;11;PREFEITO;8;SERVIDOR PÚBLICO ESTADUAL;297;2;AC;2016
SEBASTIÃO SOUZA CORREIA;15;11;PREFEITO;3;EMPRESÁRIO;257;2;AC;2016
ANDRE LUIS TAVARES DA CRUZ MAIA;55;11;PREFEITO;8;ODONTÓLOGO;115;2;AC;2016
ELSON DE LIMA FARIAS;65;11;PREFEITO;6;PREFEITO;275;2;AC;2016
MARCUS ALEXANDRE MÉDICI AGUIAR VIANA DA SILVA;13;11;PREFEITO;8;PREFEITO;275;2;AC;2016
FRANCISCO UBIRACY MACHADO DE VASCONCELOS;13;11;PREFEITO;8;SERVIDOR PÚBLICO ESTADUAL;297;2;AC;2016
ISAAC DE SOUZA LIMA;13;11;PREFEITO;6;AGRICULTOR;601;2;AC;2016
FRANCISCO DE ASSIS FERNANDES DA COSTA;44;11;PREFEITO;6;OUTROS;999;2;AC;2016
GEDEON SOUSA BARROS;45;11;PREFEITO;6;EMPRESÁRIO;257;2;AC;2016
JOSÉ ESTEPHAN BARBARY FILHO;15;11;PREFEITO;3;PREFEITO;275;2;AC;2016
OLAVO FRANCELINO DE REZENDE;15;11;PREFEITO;6;EMPRESÁRIO;257;2;AC;2020
FRANCISCO NAUDINO RIBEIRO SOUZA;12;11;PREFEITO;6;OUTROS;999;2;AC;2020
CAMILO DA SILVA;55;11;PREFEITO;8;PROFESSOR DE ENSINO MÉDIO;266;2;AC;2020
MARIA LUCINÉIA NERY DE LIMA MENEZES;12;11;PREFEITO;8;SERVIDOR PÚBLICO ESTADUAL;297;4;AC;2020
JOSÉ DE SOUZA LIMA;11;11;PREFEITO;8;PROFESSOR DE ENSINO FUNDAMENTAL;265;2;AC;2020
ISAAC DE SOUZA LIMA;13;11;PREFEITO;6;AGRICULTOR;601;2;AC;2020
JOÃO EDVALDO TELES DE LIMA;12;11;PREFEITO;3;OUTROS;999;2;AC;2020
JAILSON PONTES DE AMORIM;90;11;PREFEITO;8;PREFEITO;275;2;AC;2020
ROSANA PEREIRA DA SILVA;11;11;PREFEITO;6;SERVIDOR PÚBLICO ESTADUAL;297;4;AC;2020
JOSE ALTANIZIO TAUMATURGO SÁ;15;11;PREFEITO;4;PREFEITO;275;2;AC;2020
OSMAR SERAFIM DE ANDRADE;15;11;PREFEITO;6;EMPRESÁRIO;257;2;AC;2020
FRANCISCO UBIRACY MACHADO DE VASCONCELOS;13;11;PREFEITO;8;PREFEITO;275;2;AC;2020
BENEDITO CAVALCANTE DAMASCENO;11;11;PREFEITO;6;PREFEITO;275;2;AC;2020
KIEFER ROBERTO CAVALCANTE LIMA;11;11;PREFEITO;8;EMPRESÁRIO;257;2;AC;2020
JERRY CORREIA MARINHO;13;11;PREFEITO;8;PROFESSOR DE ENSINO MÉDIO;266;2;AC;2020
SERGIO LOPES DE SOUZA;45;11;PREFEITO;8;SERVIDOR PÚBLICO ESTADUAL;297;2;AC;2020
SEBASTIÃO BOCALOM RODRIGUES;11;11;PREFEITO;8;OUTROS;999;2;AC;2020
ISAAC DA SILVA PIYAKO;55;11;PREFEITO;8;PREFEITO;275;2;AC;2020
FERNANDA DE SOUZA HASSEM CESAR;13;11;PREFEITO;8;PREFEITO;275;4;AC;2020
MANOEL MAIA BEZERRA;25;11;PREFEITO;5;SERVIDOR PÚBLICO MUNICIPAL;298;2;AC;2020
JOSÉ ALTAMIR TAUMATURGO DE SÁ;15;11;PREFEITO;6;AGRICULTOR;601;2;AC;2020
SEBASTIAO NOGUEIRA DE ANDRADE;15;11;PREFEITO;6;TÉCNICO DE ENFERMAGEM E ASSEMELHADOS (EXCETO ENFERMEIRO);243;2;AC;2020
ROSIANA LIMA BELTRÃO SIQUEIRA;15;11;PREFEITO;8;CONTADOR;124;4;AL;2000
MARCOS DAVI SANTOS;70;11;PREFEITO;8;SERVIDOR PUBLICO ESTADUAL;297;2;AL;2000
EMMANOEL BARBOSA TEIXEIRA;45;11;PREFEITO;8;TÉCNICO EM AGRONOMIA E AGRIMENSURA;153;2;AL;2000
JORGE MATIAS;11;11;PREFEITO;4;PROPRIETÁRIO DE ESTABELECIMENTO AGRÍCOLA, DA PECUÁRIA E FLORESTAL;901;2;AL;2000
CARLOS HENRIQUE FONTAN CAVALCANTI MANSO;12;11;PREFEITO;8;PROCURADOR E ASSEMELHADOS;211;2;AL;2000
JOAQUIM BELTRÃO SIQUEIRA;15;11;PREFEITO;8;ENGENHEIRO;101;2;AL;2000
JOSÉ RUBEM FONSECA DE LIMA;45;11;PREFEITO;8;SERVIDOR PUBLICO ESTADUAL;297;2;AL;2000
JOSÉ AURÉLIO DE OLIVEIRA;40;11;PREFEITO;6;OUTROS;999;2;AL;2000
MARIA ESTER DAMASCENO SILVA;20;11;PREFEITO;6;NÃO INFORMADA;0;4;AL;2000
KÁTIA BORN RIBEIRO;40;11;PREFEITO;8;MEMBROS DO PODER EXECUTIVO: PRESIDENTE, MINISTRO, GOVERNADOR, PREFEITO;203;4;AL;2000
JORGE SILVA DANTAS;45;11;PREFEITO;8;PROFESSOR DE ENSINO SUPERIOR;142;2;AL;2000
KLEBER DE AMORIM TENÓRIO;45;11;PREFEITO;3;NÃO INFORMADA;0;2;AL;2000
MANUILSON ANDRADE SANTOS;23;11;PREFEITO;6;DIRETOR DE EMPRESAS;301;2;AL;2000
ANTONIO GUEDES AMARAL;25;11;PREFEITO;8;FUNCIONÁRIO PÚBLICO CIVIL APOSENTADO;922;2;AL;2000
JORGE LUIZ GONZAGA AMORIM;45;11;PREFEITO;8;MÉDICO;111;2;AL;2000
MAILSON BULHÕES DE OLIVEIRA;45;11;PREFEITO;8;SERVIDOR PUBLICO ESTADUAL;297;2;AL;2000
MARIA NILZA DOS SANTOS CORREIA;40;11;PREFEITO;3;PROPRIETÁRIO DE ESTABELECIMENTO COMERCIAL;902;4;AL;2000
MARCOS ANTONIO DOS SANTOS;45;11;PREFEITO;8;ADVOGADO;131;2;AL;2000
MÁRIO CÉSAR VIEIRA;17;11;PREFEITO;4;OUTROS;999;2;AL;2000
ANTÔNIO JOSÉ DA SILVA;15;11;PREFEITO;8;ADVOGADO;131;2;AL;2000
HERMANN ELSON DE ALMEIDA FILHO;45;11;PREFEITO;8;AGRÔNOMO;103;2;AL;2000
JOSÉ ADERSON DA ROCHA RODRIGUES;70;11;PREFEITO;4;PROPRIETÁRIO DE ESTABELECIMENTO COMERCIAL;902;2;AL;2000
ADALBERON DE MORAIS BARROS;41;11;PREFEITO;6;PROPRIETÁRIO DE ESTABELECIMENTO COMERCIAL;902;2;AL;2000
FERNANDO ANTONIO SAMPAIO COSTA;40;11;PREFEITO;6;PROPRIETÁRIO DE ESTABELECIMENTO AGRÍCOLA, DA PECUÁRIA E FLORESTAL;901;2;AL;2000
ALMIR LIRA SOBRINHO;45;11;PREFEITO;5;MEMBROS DO PODER EXECUTIVO: PRESIDENTE, MINISTRO, GOVERNADOR, PREFEITO;203;2;AL;2000
GENIVALDO NOVAIS AGRA;15;11;PREFEITO;4;TRABALHADOR AGRÍCOLA;601;2;AL;2000
VALDECI FERREIRA DE ASSIS;40;11;PREFEITO;8;VETERINÁRIO E ZOOTECNISTA;112;2;AL;2000
CÍCERO FERREIRA NETO;40;11;PREFEITO;6;NÃO INFORMADA;0;2;AL;2000
ANTONIO LIMA DE ARAUJO;12;11;PREFEITO;2;TRABALHADOR AGRÍCOLA;601;2;AL;2000
FERNANDO RIBEIRO TOLEDO;45;11;PREFEITO;8;ECONOMISTA;121;2;AL;2000
JOSÉ ALBERTO BARROSO BARRETO;45;11;PREFEITO;6;OUTROS;999;2;AL;2000
ANTONIO GOMES DE MELO NETO;25;11;PREFEITO;6;OUTROS;999;2;AL;2000
AUDÁLIO DE VASCONCELOS HOLANDA;25;11;PREFEITO;5;PROPRIETÁRIO DE ESTABELECIMENTO AGRÍCOLA, DA PECUÁRIA E FLORESTAL;901;2;AL;2000
SILVANA MARIA CAVALCANTE DA COSTA PINTO;25;11;PREFEITO;8;PSICÓLOGO;132;4;AL;2000
MANOEL JOÃO DOS SANTOS JÚNIOR;12;11;PREFEITO;6;OUTROS;999;2;AL;2000
JOSÉ AFRÂNIO VERGETI DE SIQUEIRA;15;11;PREFEITO;6;MEMBROS DO PODER EXECUTIVO: PRESIDENTE, MINISTRO, GOVERNADOR, PREFEITO;203;2;AL;2000
JORGE ALVES CORDEIRO;45;11;PREFEITO;3;PROPRIETÁRIO DE ESTABELECIMENTO INDUSTRIAL;903;2;AL;2000
JOSÉ PETRÚCIO OLIVEIRA BARBOSA;14;11;PREFEITO;3;TRABALHADOR DA PECUÁRIA;602;2;AL;2000
FERNANDO SERGIO LIRA NETO;45;11;PREFEITO;8;MÉDICO;111;2;AL;2000
LUIZ DANIEL DA SILVA;40;11;PREFEITO;4;NÃO INFORMADA;0;2;AL;2000
JOSÉ DAMACENA FILHO;45;11;PREFEITO;3;SERVIDOR PUBLICO MUNICIPAL;298;2;AL;2000
JOSÉ VALTER DE AZEVEDO;25;11;PREFEITO;2;TRABALHADOR AGRÍCOLA;601;2;AL;2000
INÁCIO LOIOLA DAMASCENO FREITAS;45;11;PREFEITO;8;AGRÔNOMO;103;2;AL;2000
JOSÉ ROGERIO CAVALCANTE FARIAS;11;11;PREFEITO;5;MILITAR EM GERAL;295;2;AL;2000
LUIZ CARLOS COSTA;15;11;PREFEITO;5;PROPRIETÁRIO DE ESTABELECIMENTO COMERCIAL;902;2;AL;2000
MANOEL SERTÓRIO QUEIROZ FERRO;22;11;PREFEITO;6;PROPRIETÁRIO DE ESTABELECIMENTO AGRÍCOLA, DA PECUÁRIA E FLORESTAL;901;2;AL;2000
JOÃO ALVES CORDEIRO;15;11;PREFEITO;3;PROPRIETÁRIO DE ESTABELECIMENTO COMERCIAL;902;2;AL;2000
MARIA LÚCIA MARINHO DA SILVA CARMO;14;11;PREFEITO;8;ADVOGADO;131;4;AL;2000
JOSÉ ROBSON DOS SANTOS VIEIRA;15;11;PREFEITO;8;MÉDICO;111;2;AL;2000
RAIMUNDO JOSE DE FREITAS LOPES;14;11;PREFEITO;6;OUTROS;999;2;AL;2000
JOSE EDMUNDO DAMASO BARROS;45;11;PREFEITO;6;OUTROS;999;2;AL;2000
VERALDINO APOLINÁRIO DOS SANTOS;40;11;PREFEITO;8;ENGENHEIRO;101;2;AL;2000
LAURO PEREIRA DA FONSECA;15;11;PREFEITO;8;MÉDICO;111;2;AL;2000
ALBERICO CORDEIRO DA SILVA;14;11;PREFEITO;8;JORNALISTA;171;2;AL;2000
LEOCÁDIO CORREIA CAVALCANTI;40;11;PREFEITO;4;OUTROS;999;2;AL;2000
SYLVIO GAZZANEO GOMES RÊGO;45;11;PREFEITO;7;PROPRIETÁRIO DE ESTABELECIMENTO AGRÍCOLA, DA PECUÁRIA E FLORESTAL;901;2;AL;2000
EDNALDO ALMEIDA COSTA;23;11;PREFEITO;6;SERVENTUARIO DE JUSTICA;293;2;AL;2000
MARCIO FIDELSON MENEZES GOMES;15;11;PREFEITO;6;MEMBROS DO PODER EXECUTIVO: PRESIDENTE, MINISTRO, GOVERNADOR, PREFEITO;203;2;AL;2000
MARCELO MARCOS ROCHA SOUTO;28;11;PREFEITO;8;SERVIDOR PUBLICO ESTADUAL;297;2;AL;2000
VASCO RUFINO DA SILVA;45;11;PREFEITO;2;TRABALHADOR AGRÍCOLA;601;2;AL;2000
JOSE MAIA DE ALBUQUERQUE;25;11;PREFEITO;5;SERVIDOR PUBLICO MUNICIPAL;298;2;AL;2000
ROSEANE JATOBÁ LINS;45;11;PREFEITO;6;OUTROS;999;4;AL;2000
MAXWELL TENORIO CAVALCANTE;40;11;PREFEITO;7;NÃO INFORMADA;0;2;AL;2000
VALDEMAR ALVES FEITOSA;12;11;PREFEITO;3;OUTROS;999;2;AL;2000
GERVASIO DE OLIVEIRA LINS;15;11;PREFEITO;3;TRABALHADOR AGRÍCOLA;601;2;AL;2000
JORGE NIVALDO RIBEIRO DE ALBUQUERQUE;25;11;PREFEITO;5;OUTROS;999;2;AL;2000
JOSE RODRIGUES DA COSTA;45;11;PREFEITO;4;NÃO INFORMADA;0;2;AL;2000
EDNEUSA PEREIRA RICARDO;45;11;PREFEITO;3;MEMBROS DO PODER EXECUTIVO: PRESIDENTE, MINISTRO, GOVERNADOR, PREFEITO;203;4;AL;2000
JARBAS MAIA DE OMENA FILHO;25;11;PREFEITO;8;ADMINISTRADOR;125;2;AL;2000
DALMO ROCHA RAPOSO;45;11;PREFEITO;8;MÉDICO;111;2;AL;2000
CARLOS ALBERTO MOREIRA DE MENDONÇA CANUTO;11;11;PREFEITO;8;PROPRIETÁRIO DE ESTABELECIMENTO AGRÍCOLA, DA PECUÁRIA E FLORESTAL;901;2;AL;2000
MARIA HELENA AMTERO SANTA ROSA;12;11;PREFEITO;4;OUTROS;999;4;AL;2000
CLEOVAN FLORENTINO DE ALMEIDA;17;11;PREFEITO;8;NÃO INFORMADA;0;2;AL;2000
JOSÉ RODRIGUES GOMES;15;11;PREFEITO;5;OUTROS;999;2;AL;2000
FRANCISCO JOSÉ DE OLIVEIRA;40;11;PREFEITO;8;VETERINÁRIO E ZOOTECNISTA;112;2;AL;2000
ERALDO CAVALCANTE SILVA;15;11;PREFEITO;8;MÉDICO;111;2;AL;2000
ANTÔNIO AVÂNIO FEITOSA;45;11;PREFEITO;6;SERVIDOR PUBLICO ESTADUAL;297;2;AL;2000
RITA TENÓRIO BRANDÃO;40;11;PREFEITO;4;DIRETOR DE ESTABELECIMENTO DE ENSINO;144;4;AL;2000
LEONOR MELO MONTEIRO;28;11;PREFEITO;3;DONA DE CASA;581;2;AL;2000
REMI VASCONCELOS CALHEIROS;15;11;PREFEITO;7;OUTROS;999;2;AL;2000
JOSÉ HÉLIO GOMES BRANDÃO;12;11;PREFEITO;6;TRABALHADOR DA PECUÁRIA;602;2;AL;2000
DARIO JOAO DE MENDONCA BERNARDES;45;11;PREFEITO;8;ASSISTENTE SOCIAL;134;2;AL;2000
JOSÉ GILDO RODRIGUES SILVA;17;11;PREFEITO;8;NÃO INFORMADA;0;2;AL;2000
OBERDAN TENÓRIO BRANDÃO;45;11;PREFEITO;6;TRABALHADOR DA PECUÁRIA;602;2;AL;2000
JOSÉ GUALBERTO PEREIRA;12;11;PREFEITO;7;OUTROS;999;2;AL;2000
JOSÉ CARLOS CAVALCANTE SILVA;45;11;PREFEITO;8;MÉDICO;111;2;AL;2000
CÍCERO CAVALCANTE DE ARAUJO;15;11;PREFEITO;5;OUTROS;999;2;AL;2000
EDIELSON BARBOSA LIMA;40;11;PREFEITO;8;MEMBROS DO PODER EXECUTIVO: PRESIDENTE, MINISTRO, GOVERNADOR, PREFEITO;203;2;AL;2000
JOSE DANILO DAMASO DE ALMEIDA;15;11;PREFEITO;3;TRABALHADOR DA PECUÁRIA;602;2;AL;2000
JOÃO BOSCO CARDOSO FERRO;25;11;PREFEITO;4;NÃO INFORMADA;0;2;AL;2000
JOÃO JOSÉ PEREIRA;25;11;PREFEITO;6;PROPRIETÁRIO DE ESTABELECIMENTO AGRÍCOLA, DA PECUÁRIA E FLORESTAL;901;2;AL;2000
ALEXANDRE DE MELO TOLEDO;45;11;PREFEITO;8;ENGENHEIRO;101;2;AL;2000
CELIA MARIA BARBOSA ROCHA TERUEL;45;11;PREFEITO;8;MÉDICO;111;4;AL;2000
ANTONIO GARROTE DA SILVA;25;11;PREFEITO;7;OUTROS;999;2;AL;2000
NIVALDO JATOBÁ;15;11;PREFEITO;4;OUTROS;999;2;AL;2000
